scene,date,doy,support_px,clear_support_px,clear_frac,veg_frac,snow_frac,cloud_frac,shadow_frac,scl7_frac,ndvi_med_clear,ndre_med_clear,ndmi_med_clear,nbr_med_clear,ndsi_med_clear
SdV_2024-07-29_no_clouds.zip,2024-07-29,211,191154,191120,0.9998221329399333,0.9975046297749458,0.0,0.0,0.00017786706006675247,8.370214591376586e-05,0.8947934508323669,0.6993422508239746,0.390656441450119,0.6777962446212769,-0.608312726020813
SdV_2024-08-23_no_clouds.zip,2024-08-23,236,191154,180560,0.9445787166368478,0.9439823388472122,0.0,0.05535327536959729,6.800799355493476e-05,0.00019356121242558355,0.8689479827880859,0.6820205450057983,0.37522804737091064,0.6665185689926147,-0.5872825384140015
SdV_2024-09-27_no_clouds.zip,2024-09-27,271,191154,191154,1.0,0.9960189166849766,0.0,0.0,0.0,0.0,0.8699920773506165,0.6590167880058289,0.3689148426055908,0.6689751744270325,-0.5750053524971008
SdV_2024-10-12_no_clouds.zip,2024-10-12,286,191154,173871,0.9095859882607741,0.9020998775856116,0.0,0.0,0.09041401173922596,0.0,0.8236867785453796,0.5708764791488647,0.39255717396736145,0.6787084341049194,-0.4783934950828552
SdV_2024-10-17_no_clouds.zip,2024-10-17,291,191154,189983,0.9938740491959362,0.977792774412254,0.0,7.84707617941555e-05,0.006047480042269584,0.0,0.8337189555168152,0.5540319681167603,0.37828195095062256,0.663628339767456,-0.5744010210037231
SdV_2024-10-22_no_clouds.zip,2024-10-22,296,191154,188549,0.986372244368415,0.9486382707136655,0.0,0.0,0.013627755631585005,0.0,0.7897507548332214,0.5303558111190796,0.3031376302242279,0.6019554138183594,-0.6602436900138855
SdV_2024-11-06_no_clouds.zip,2024-11-06,311,191154,171165,0.8954298628331084,0.7740408257216694,0.0,0.0,0.10457013716689162,0.0,0.7630146145820618,0.5679161548614502,0.23155464231967926,0.4942677319049835,-0.6854825019836426
SdV_2024-12-26_winter.zip,2024-12-26,361,191154,102608,0.5367818617449804,0.34535505404019795,0.062300553480439856,0.0,0.40091758477457967,0.0,0.8018177151679993,0.5775007009506226,0.49110591411590576,0.6973790526390076,-0.5472527742385864
SdV_2024-12-31_winter.zip,2024-12-31,366,191154,99108,0.5184720173263442,0.3474580704562813,0.07247036420896241,0.0,0.4090576184646934,0.0,0.7653487920761108,0.555431604385376,0.47611650824546814,0.6929897665977478,-0.4645010530948639
SdV_2025-07-01_no_clouds.zip,2025-07-01,182,191154,191154,1.0,0.9977243479079695,0.0,0.0,0.0,0.0001098590665118177,0.8927597403526306,0.6706995964050293,0.4009455442428589,0.6824488639831543,-0.5822899341583252
SdV_2025-08-28_no_clouds.zip,2025-08-28,240,191154,191154,1.0,0.9975412494637831,0.0,0.0,0.0,0.0001412473712294799,0.8883212804794312,0.6257127523422241,0.3859627842903137,0.6874572038650513,-0.5950471758842468
SdV_2025-11-01_no_clouds.zip,2025-11-01,305,191154,179716,0.9401634284398966,0.8602435732446091,0.0,0.0,0.05983657156010337,0.0,0.7338701486587524,0.5415444374084473,0.22044265270233154,0.5032662153244019,-0.69992995262146
SdV_2025-12-11_no_clouds.zip,2025-12-11,345,191154,112534,0.588708580516233,0.4924563440995218,0.0,0.0,0.411291419483767,0.0,0.7736209630966187,0.5703588724136353,0.3406156301498413,0.5949499607086182,-0.5097473859786987
